Weight;Acceleration;Intrusion;x1;x2;x3;x4;x5;Feasible
1661.7078225;8.3046;0.0708;1;1;1;1;1;1
1682.27451656928;6.65502037767769;0.195663146640511;1.01762577253558;2.97865513392078;2.66858830877975;1.00003709167426;2.8642127111796;1
1662.59185495713;8.04575259498406;0.0898072017189065;1.00000293005959;1.38071671727527;1;1;1;1
1675.48959474668;6.14280318867758;0.26399998122562;1.0000049406264;3;3;1;1;1
1686.66065383574;9.50328220766384;0.0476526015558802;2.87508655822812;2.99999999999759;1.00000017067127;1.90356165133035;2.99999999964498;1
1690.08892707398;10.1434032908199;0.0431707701969949;3;2.99999999780364;1.00000000128919;2.30967893673196;2.99955854453138;1
1672.94465186761;8.84884773997004;0.0526567542334284;1;1;1;1.30110337737968;3;1
1687.04798831149;9.6959315777738;0.0469783638418871;2.60587236579071;3;1.000086791053;2.03586536054113;3;1
1669.81183134363;8.4486371877418;0.0573680414354852;1.00035583498256;1.01769926087377;1.00000017707826;1.00000634778274;2.8092711389695;1
1691.4615359607;10.4386268768008;0.0425434387074822;3;3;1;2.48719186166263;3;1
1662.86694279819;7.97422306656268;0.0939721924496555;1.00037504198084;1.49098527001464;1;1.00235278213379;1;1
1663.74201116828;7.72589802900529;0.103917477978471;1.0125920239408;1.86311659700494;1.00007559236845;1;1;1
1672.18938068115;8.72447430503876;0.0531364204856805;1.00000046891554;1.0000000010242;1.00000729323072;1.20328313673702;3;1
1665.80186746662;7.77896076909034;0.100169302732851;1;1.87242363030074;1.00000002945463;1.02036144512224;1.42887730390903;1
1678.34297960238;6.27125993980616;0.242157074289172;1.00077138268179;2.99741644964387;2.93862273816957;1.00000945293341;1.70421099639308;1
1677.63462668071;6.19629995846709;0.252303314527721;1.00435769638563;2.9992193498671;3;1.00494802986413;1.47091596777449;1
1688.02063258739;9.72247784257555;0.0454277117467204;3;2.99999998515205;1.00012760068436;2.04488361306705;2.99410593694096;1
1674.78779257378;6.66540403598638;0.209823967209511;1.00027279344878;3;2.45899887898842;1;1.39707216681939;1
1688.83020600436;9.88189778056717;0.0443474927314868;3;2.9999999243241;1;2.14640714447409;2.99999839043878;1
1688.73931918087;9.86880915195519;0.0444774381216896;3;3;1;2.13945430726738;2.99164964015457;1
1689.65044129373;10.051069886305;0.0435158311895904;3;2.99996450641586;1;2.25264620173429;3;1
1674.5631690378;6.35957218907427;0.245750298427588;1.00192323670184;3;2.78917537113628;1.000410272776;1.00653421268675;1
1676.27462062539;6.41869427664783;0.234419018383819;1.00076588254566;3;2.76301809907333;1.00039147479372;1.41808151156639;1
1683.01848662802;6.48289064825449;0.206830982786296;1;3;2.82573814977127;1;2.86830725329772;1
1686.33285655942;9.45976822346801;0.0482611363670172;2.88496417870378;2.99999327134569;1.00000002848262;1.88110102715271;2.96013439437289;1
1681.61475522172;6.78152348364424;0.181476708401198;1.00029280259929;2.9996784609845;2.47880924497433;1;2.9090169525977;1
1673.94677785635;6.48127677835173;0.236715065114994;1.00002310762117;2.95803054054784;2.68364073985127;1;1;1
1672.45729253848;8.76847442226649;0.052944544541833;1;1;1.00000785095147;1.23822204384523;2.99958132878895;1
1674.12129605999;9.04933118318325;0.0523253228832512;1;1;1;1.45349151748711;3;1
1684.67863458613;9.09556812821717;0.0522622662136013;2.96799014008829;3;1.00000042465166;1.61850516747481;3;1
1682.9133177281;6.63304774698524;0.193297447452249;1;2.99999988871523;2.67428189057471;1;3;1
1668.44377978617;7.2950261260212;0.0856911946923195;1.00123295850434;2.99999989552213;1.00000000161255;1.17275591732389;1.16946616670009;1
